Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-03 07:00:00, 19119.199364977489, 425.58321150047897, null, null, 19119.199364977489, 425.58321150047897
2100-Jan-03 08:00:00, 18532.44305706822, 412.52232808578873, null, null, 18532.44305706822, 412.52232808578873
2100-Jan-03 09:00:00, 14807.665848536115, 329.61076802147699, null, null, 14807.665848536115, 329.61076802147699
2100-Jan-03 10:00:00, 11254.469203767952, 250.51850007101191, null, null, 11254.469203767952, 250.51850007101191
2100-Jan-03 11:00:00, 9337.2481056557208, 207.84217788224336, null, null, 9337.2481056557208, 207.84217788224336
2100-Jan-03 12:00:00, 7002.9577770853939, 155.88211639414359, null, null, 7002.9577770853939, 155.88211639414359
2100-Jan-03 13:00:00, 5265.5303975072384, 117.20790677717601, null, null, 5265.5303975072384, 117.20790677717601
2100-Jan-03 14:00:00, 4433.9356251149184, 98.697049332484568, null, null, 4433.9356251149184, 98.697049332484568
2100-Jan-03 15:00:00, 3992.0385811435076, 88.860656106185743, null, null, 3992.0385811435076, 88.860656106185743
2100-Jan-03 16:00:00, 4433.9356251149184, 98.697049332484568, null, null, 4433.9356251149184, 98.697049332484568
2100-Jan-03 17:00:00, 6600.0366950253319, 146.91330735507478, null, null, 6600.0366950253319, 146.91330735507478
2100-Jan-03 18:00:00, 9853.3257707807625, 219.32979229092561, null, null, 9853.3257707807625, 219.32979229092561
2100-Jan-03 19:00:00, 11788.817068464668, 262.41279940723933, null, null, 11788.817068464668, 262.41279940723933
2100-Jan-03 20:00:00, 12780.443370884577, 284.48587361584163, null, null, 12780.443370884577, 284.48587361584163
2100-Jan-03 21:00:00, 13786.951964053638, 306.89021970307238, null, null, 13786.951964053638, 306.89021970307238
2100-Jan-03 22:00:00, 17465.918580554709, 388.78206034790793, null, null, 17465.918580554709, 388.78206034790793
2100-Jan-03 23:00:00, 17465.918580554709, 388.78206034790793, null, null, 17465.918580554709, 388.78206034790793
2100-Jan-04 00:00:00, 16411.672298609275, 365.31509869235612, null, null, 16411.672298609275, 365.31509869235612
2100-Jan-04 01:00:00, 16889.323313558267, 375.94735630094738, null, null, 16889.323313558267, 375.94735630094738
2100-Jan-04 02:00:00, 18532.44305706822, 412.52232808578873, null, null, 18532.44305706822, 412.52232808578873
2100-Jan-04 03:00:00, 17465.918580554709, 388.78206034790793, null, null, 17465.918580554709, 388.78206034790793
2100-Jan-04 04:00:00, 18046.166177927415, 401.69806332696902, null, null, 18046.166177927415, 401.69806332696902
2100-Jan-04 05:00:00, 18532.44305706822, 412.52232808578873, null, null, 18532.44305706822, 412.52232808578873
2100-Jan-04 06:00:00, 19610.804035823727, 436.52607006968373, null, null, 19610.804035823727, 436.52607006968373
2100-Jan-04 07:00:00, 20203.843037386821, 449.72680290437461, null, null, 20203.843037386821, 449.72680290437461
2100-Jan-04 08:00:00, 21299.707414271459, 474.1201612234396, null, null, 21299.707414271459, 474.1201612234396
2100-Jan-04 09:00:00, 16411.672298609275, 365.31509869235612, null, null, 16411.672298609275, 365.31509869235612
2100-Jan-04 10:00:00, 13786.951964053638, 306.89021970307238, null, null, 13786.951964053638, 306.89021970307238
2100-Jan-04 11:00:00, 11254.469203767952, 250.51850007101191, null, null, 11254.469203767952, 250.51850007101191
2100-Jan-04 12:00:00, 8405.1639682814402, 187.09448060685239, null, null, 8405.1639682814402, 187.09448060685239
2100-Jan-04 13:00:00, 6600.0366950253319, 146.91330735507478, null, null, 6600.0366950253319, 146.91330735507478
2100-Jan-04 14:00:00, 5730.0196193141337, 127.54718986902161, null, null, 5730.0196193141337, 127.54718986902161
2100-Jan-04 15:00:00, 5730.0196193141337, 127.54718986902161, null, null, 5730.0196193141337, 127.54718986902161
2100-Jan-04 16:00:00, 7002.9577770853939, 155.88211639414359, null, null, 7002.9577770853939, 155.88211639414359
2100-Jan-04 17:00:00, 8405.1639682814402, 187.09448060685239, null, null, 8405.1639682814402, 187.09448060685239
2100-Jan-04 18:00:00, 10287.361024025273, 228.99118623603968, null, null, 10287.361024025273, 228.99118623603968
2100-Jan-04 19:00:00, 11788.817068464668, 262.41279940723933, null, null, 11788.817068464668, 262.41279940723933
2100-Jan-04 20:00:00, 12237.665131589052, 272.4039186237772, null, null, 12237.665131589052, 272.4039186237772
2100-Jan-04 21:00:00, 14341.984422827774, 319.24494710472277, null, null, 14341.984422827774, 319.24494710472277
2100-Jan-04 22:00:00, 14341.984422827774, 319.24494710472277, null, null, 14341.984422827774, 319.24494710472277
2100-Jan-04 23:00:00, 14341.984422827774, 319.24494710472277, null, null, 14341.984422827774, 319.24494710472277
2100-Jan-05 00:00:00, 13327.648042947816, 296.66635864762236, null, null, 13327.648042947816, 296.66635864762236
2100-Jan-05 01:00:00, 14341.984422827774, 319.24494710472277, null, null, 14341.984422827774, 319.24494710472277
2100-Jan-05 02:00:00, 15841.974307150982, 352.63392433134601, null, null, 15841.974307150982, 352.63392433134601
2100-Jan-05 03:00:00, 14341.984422827774, 319.24494710472277, null, null, 14341.984422827774, 319.24494710472277
2100-Jan-05 04:00:00, 16411.672298609275, 365.31509869235612, null, null, 16411.672298609275, 365.31509869235612
2100-Jan-05 05:00:00, 16889.323313558267, 375.94735630094738, null, null, 16889.323313558267, 375.94735630094738
2100-Jan-05 06:00:00, 15370.18541889677, 342.13215454587754, null, null, 15370.18541889677, 342.13215454587754
2100-Jan-05 07:00:00, 17465.918580554709, 388.78206034790793, null, null, 17465.918580554709, 388.78206034790793
2100-Jan-05 08:00:00, 19119.199364977489, 425.58321150047897, null, null, 19119.199364977489, 425.58321150047897
2100-Jan-05 09:00:00, 12780.443370884577, 284.48587361584163, null, null, 12780.443370884577, 284.48587361584163
2100-Jan-05 10:00:00, 8911.2710544814654, 198.36015523037815, null, null, 8911.2710544814654, 198.36015523037815
2100-Jan-05 11:00:00, 7002.9577770853939, 155.88211639414359, null, null, 7002.9577770853939, 155.88211639414359
2100-Jan-05 12:00:00, 6122.60719206671, 136.28598048560326, null, null, 6122.60719206671, 136.28598048560326
2100-Jan-05 13:00:00, 4884.2229174641243, 108.72020502627717, null, null, 4884.2229174641243, 108.72020502627717
2100-Jan-05 14:00:00, 3630.5880929374403, 80.814960434904933, null, null, 3630.5880929374403, 80.814960434904933
2100-Jan-05 15:00:00, 3630.5880929374403, 80.814960434904933, null, null, 3630.5880929374403, 80.814960434904933
2100-Jan-05 16:00:00, 3630.5880929374403, 80.814960434904933, null, null, 3630.5880929374403, 80.814960434904933
2100-Jan-05 17:00:00, 5730.0196193141337, 127.54718986902161, null, null, 5730.0196193141337, 127.54718986902161
2100-Jan-05 18:00:00, 7904.771322327083, 175.95600638462241, null, null, 7904.771322327083, 175.95600638462241
2100-Jan-05 19:00:00, 10287.361024025273, 228.99118623603968, null, null, 10287.361024025273, 228.99118623603968
2100-Jan-05 20:00:00, 11788.817068464668, 262.41279940723933, null, null, 11788.817068464668, 262.41279940723933
