S,AP,F,I,,,,,
C,05,BUI,00,,,,,
C,05,CUI,00,,,,,
C,05,SUI,00,,,,,
C,05,BEH,05,,,,,
C,05,BEF,05,,,,,
C,05,BIF,05,,,,,
C,05,CEV,05,,,,,
C,05,CIV,05,,,,,
C,05,CIB,05,,,,,
C,05,SEV,05,,,,,
C,05,SIV,05,,,,,
C,05,SIH,05,,,,,
C,05,SEH,05,,,,,
C,05,SIW,05,,,,,
C,05,BEH,20,,,,,
C,05,BEF,20,,,,,
C,05,BIF,20,,,,,
C,05,CEV,20,,,,,
C,05,CIV,20,,,,,
C,05,CIB,20,,,,,
C,05,SEV,20,,,,,
C,05,SIV,20,,,,,
C,05,SIH,20,,,,,
C,05,SEH,20,,,,,
C,05,SIW,20,,,,,
C,15,BUI,00,,,,,
C,15,CUI,00,,,,,
C,15,SUI,00,,,,,
C,15,BEH,05,,,,,
C,15,BEF,05,,,,,
C,15,BIF,05,,,,,
C,15,CEV,05,,,,,
C,15,CIV,05,,,,,
C,15,CIB,05,,,,,
C,15,SEV,05,,,,,
C,15,SIV,05,,,,,
C,15,SIH,05,,,,,
C,15,SEH,05,,,,,
C,15,SIW,05,,,,,
C,15,BEH,20,,,,,
C,15,BEF,20,,,,,
C,15,BIF,20,,,,,
C,15,CEV,20,,,,,
C,15,CIV,20,,,,,
C,15,CIB,20,,,,,
C,15,SEV,20,,,,,
C,15,SIV,20,,,,,
C,15,SIH,20,,,,,
C,15,SEH,20,,,,,
C,15,SIW,20,,,,,
C,45,BUI,00,,,,,
C,45,CUI,00,,,,,
C,45,SUI,00,,,,,
C,45,BEH,05,,,,,
C,45,BEF,05,,,,,
C,45,BIF,05,,,,,
C,45,CEV,05,,,,,
C,45,CIV,05,,,,,
C,45,CIB,05,,,,,
C,45,SEV,05,,,,,
C,45,SIV,05,,,,,
C,45,SIH,05,,,,,
C,45,SEH,05,,,,,
C,45,SIW,05,,,,,
C,45,BEH,20,,,,,
C,45,BEF,20,,,,,
C,45,BIF,20,,,,,
C,45,CEV,20,,,,,
C,45,CIV,20,,,,,
C,45,CIB,20,,,,,
C,45,SEV,20,,,,,
C,45,SIV,20,,,,,
C,45,SIH,20,,,,,
C,45,SEH,20,,,,,
C,45,SIW,20,,,,,
L,05,BUI,00,,,,,
L,05,CUI,00,,,,,
L,05,SUI,00,,,,,
L,05,BEH,05,,,,,
L,05,BEF,05,,,,,
